7a9ca5b7-874c-4892-abf9-899b4edd6a53,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Scented Stationery Set,https://www.kmart.com.au/product/scented-stationery-set/2843834,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/42838661-1-sz.jpg,3.00											WAS 5,3.00											,Not Rated,0,;,
f29b43eb-ff44-4752-90bc-46c80763c893,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Disney Frozen II Medium Plush Toy - Assorted,https://www.kmart.com.au/product/disney-frozen-ii-medium-plush-toy---assorted/2814803,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42797326-1-sz.jpg,9.00						 ea					WAS 12,9.00						 ea					,Not Rated,0,;,
e7ce81a4-f7e0-4b76-8a48-56059e510dcd,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Pikmi Pops Cheeki Boutique Single Pack - Assorted,https://www.kmart.com.au/product/pikmi-pops-cheeki-boutique-single-pack---assorted/2798852,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42811855-1-sz.jpg,6.00						 ea					WAS 9,6.00						 ea					,Not Rated,0,;,
f6fab0c9-bbc3-433b-8a1a-3925832e4786,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Dream Winter Castle Playset,https://www.kmart.com.au/product/dream-winter-castle-playset/2798805,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42741657-1-sz.jpg,17.00											WAS 20,17.00											,Not Rated,0,;Out of stock online,
f743cff5-43fa-4729-856d-c8f0df937522,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,So Soap DIY Soap Kit - Assorted,https://www.kmart.com.au/product/so-soap-diy-soap-kit---assorted/2794323,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/42807971-1-sz.jpg,4.00						 ea					WAS 6,4.00						 ea					,Not Rated,0,;,
ab2e7ae1-983f-414c-a3c1-58e128cfe7c7,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,3 Pack So Soap DIY Soap Kit - Assorted,https://www.kmart.com.au/product/3-pack-so-soap-diy-soap-kit---assorted/2754865,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/42820918-1-sz.jpg,10.00						 ea					WAS 15,10.00						 ea					,Not Rated,0,;,
f25377ff-2c97-403d-8da4-5b7c07490027,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Baby Born Surprise Doll - Assorted,https://www.kmart.com.au/product/baby-born-surprise-doll---assorted/2788822,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42817062-1-sz.jpg,12.00						 ea					WAS 15,12.00						 ea					,Not Rated,0,;,
bcbb4255-d883-436d-9f70-d410e47d9a90,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Imagination Game Box - Assorted,https://www.kmart.com.au/product/imagination-game-box---assorted/2725840,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42808640-1-sz.jpg,5.00						 ea					WAS 8,5.00						 ea					,Not Rated,0,;,
3422c852-8e04-48b9-94fc-653f82a00b8d,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Imaginext Jurassic World Set - Assorted,https://www.kmart.com.au/product/imaginext-jurassic-world-set---assorted/2794303,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/42784814-1-sz.jpg,7.00						 ea					WAS 10,7.00						 ea					,Not Rated,0,;Out of stock online,
3c3b2504-945e-4f0e-ba91-0c5dcd089181,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,So Slime DIY Slime'licious Shaker - Assorted,https://www.kmart.com.au/product/so-slime-diy-slimelicious-shaker---assorted/2748828,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42811732-1-sz.jpg,4.00						 ea					WAS 6,4.00						 ea					,Not Rated,0,;,
bd6d4fe0-3644-4712-bb59-e45b02383404,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,3 Pack So Slime DIY Slime'licious Shakers - Assorted,https://www.kmart.com.au/product/3-pack-so-slime-diy-slimelicious-shakers---assorted/2748829,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42811756-1-sz.jpg,10.00						 ea					WAS 15,10.00						 ea					,Not Rated,0,;,
afea4ddf-ccda-4429-9bb9-f830f8d7a6b0,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Hatchimals Pixies Doll - Assorted,https://www.kmart.com.au/product/hatchimals-pixies-doll---assorted/2734849,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42809777-1-sz.jpg,12.00						 ea					WAS 15,12.00						 ea					,Not Rated,0,;,
a0c76d78-6884-4ed2-882a-3e3a64b3d7a2,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,So Slime DIY Slimelicious Station Kit,https://www.kmart.com.au/product/so-slime-diy-slimelicious-station-kit/2725830,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42807957-1-sz.jpg,15.00											WAS 20,15.00											,Not Rated,0,;,
e30d10b6-8c78-4482-bec9-3a5874fed048,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Pixie Belles - Assorted,https://www.kmart.com.au/product/pixie-belles---assorted/2720913,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42805892-1-sz.jpg,15.00						 ea					WAS 25,15.00						 ea					,Not Rated,0,;,
404ecdd8-a494-49b4-a561-1b5c1d90868d,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Wooden 3 Drawer Wardrobe,https://www.kmart.com.au/product/wooden-3-drawer-wardrobe/2734840,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42804925-1-sz.jpg,4.00											WAS 6,4.00											,Not Rated,0,;,
87c01623-1802-4eb5-93ef-288e28c8a4e3,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Wooden Frame Storage Box,https://www.kmart.com.au/product/wooden-frame-storage-box/2717343,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42804949-1-sz.jpg,1.50											WAS 6,1.50											,Not Rated,0,;Out of stock online,
3076ff22-8dfd-43f2-b529-24bfd053ad6d,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,A5 Rainbow Notebook,https://www.kmart.com.au/product/a5-rainbow-notebook/2665312,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42764960-1-sz.jpg,1.50											WAS 2,1.50											,Not Rated,0,;,
43e2e913-9455-4a5b-b588-a2af1ef74bcd,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,A5 Unicorn Notebook,https://www.kmart.com.au/product/a5-unicorn-notebook/2674801,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42764939-1-sz.jpg,0.50											WAS 2,0.50											,Not Rated,0,;,
1dfd40e5-5576-45ee-a383-8c5e226d8a5d,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,A5 Dinosaurs Notebook,https://www.kmart.com.au/product/a5-dinosaurs-notebook/2674802,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42764946-1-sz.jpg,0.50											WAS 2,0.50											,Not Rated,0,;Out of stock online,
